@relation critics_test

@attribute text string
@attribute NewNominal numeric
@data
'lot of people',4
'mostly local Buddhist',6
'Buddhist flags hanging',8
'just look bless',9
'heat and stupa',7.5
'really is worth',9
'extended dagoba',9
'extended walk',7.7
'beautiful and majestic',9
'ancient temple on',8.0
'beautiful and majestic',9
'mins walk',7.5
'this short walk',7.5
'sacred city of Anuradhapura',8.6
'nice place to',8.5
'giant white Stupa',8.2
'nice in early morning',8.5
'great and historical',8.8
'sacred places',8.6
'ancient Sri Lanka',8.0
'most underrated historical',8.9
'stupa is an architectural',8.2
'Great and historical',8.8
'stupa is enormous',8.8
'see lots of Buddhists',8
'beauty of ancient',8.5
'skills of ancient',8.5
'stupa is awesome',8.8
'ancient city of Anuradhapura',8.0
'ancient history',8.0
'Just another stupa',7.8
'This gigantic Buddhist',8
'ancient and sacred city',8.5
'Ancient World',8.0
'very well worth the',9
'a magnificent Stupa',8.7
'perfect water bubble',8
'Sacred Bo Tree',8.6
'visited by many pilgrims',7
'ancient rulers',8.0
'great piece of ancient Sri',8.8
'great tranquilizing feeling',9
'beautiful piece of',9
'see the ruins',8
'Dagoba is Pretty',9
'delicate western feet',9
'Great day out',9
'lot of filth',2
'most famous contruction',9
'really beautiful creation',9
'see historical place',8
'most sacret place',9
'restored stupa',7.9
'surrounded by decorative elephant heads',8
'Ruwanweliseya is the largest',9
'sunset or early morning',7
'Nice place to see',8.5
'well mainteined and',8
'Good to be',8
'great reverence and',9
'lot of developments',8
'largest stupa',8.5
'such ancient',8.0
'Nice to see',8.5
'with colorful Buddhist',8
'Simply walk',7.5
'ancient city area',8.0
'see the attractions',8
'and impressive dagoba',8
'visit and walk',7.5
'dagoba is fully filled',7
'a nice walk',8.0
'Perfect place to calm',8
'beautiful place to start',9
'deterrent is walking',4
'lot of people',6
'Well worth walking',7.8
'Great Pyramids of',9
'sacred place that ranks',8.6
'see the big dagoba',8
'really hot to',4
'Pilgrims are happy',8
'nice to see',8.5
'b.c. The white dome',8
'a striking dagoba',8
'pleasant park setting',8
'the largest stupa',8.5
'best time to visit',9.0
'caos The most revered stupa',8.5
'sacred bodhi tree',8
'the other ancient',8.0




































