@relation 'testing1-weka.filters.unsupervised.attribute.Add-TNOM-NNewNominal-Lactivity,scenic-Clast'
'A hard climb',S&L
'top but worth',S&L
'greatest historical places',SA
'visit in Sri',S&L
'this fantastic creation',S&L
'hire a guide',S&L
'get the full',S&L
'visited the rock',S&L
'the best view',S&L
'Great highlight',S&L
'are slippery steps',S&L
'demand a tip',S&L
'Great way to spend',S&L
'learning a bit',S&L
'getting a bit',S&L
'seeing an awesome',S&L
'was reasonable value',S&L
'hear the history',SA
'at least trainers',S&L
'site is pretty amazing',S&L
'being a tourist',S&L
'All pretty spectacular',S&L
'with enough light',S&L
'Lots of stairs',S&L
'the day as possible',S&L
'Allow several hours',S&L
'An amazing World',S&L
'an old rock',SA
'interest for sure',S&L
'the best places',S&L
'is truly spectacular',S&L
'the caves with beautiful',S&L
'in many places',S&L
'the top is great',S&L
'Good history lesson',SA
'civilization totally absent',S&L
'history books',SA
'This place is spectacular',S&L
'carefull in few',S&L
'C very painful',S&L
'help on stairs',S&L
'unparalleled story in Sri',S&L
'Lankan history',SA
'a very important',S&L
'the ancient art',SA
'miss the crowds',S&L
'Take a hat',S&L
'with many attractions',S&L
'rock is just amazing',S&L
'a whole day',S&L
'but definitely worth',S&L
'the most important',S&L
'water and camera',S&L
'see the rock',S&L
'is very interesting',S&L
'magnificent ancient rock',S&L
'spectacular views and photo',S&L
'opportunities from even half',S&L
'maintained and many',S&L
'The roads were lousy',S&L
'not so steep',S&L
'but sometimes shaky',S&L
'water and wear proper shoes',S&L
'the view was breathtaking',S&L
'very well worth',S&L
'beat the heat',S&L
' manage the climb',S&L
'a small fee',S&L
'have appropriate clothing',S&L
'peaceful with great views',S&L
'This place is special',S&L
'the main sites',S&L
'a little tricky',S&L
'most favourite place',S&L
'climb a lot',S&L
'Take a guide',S&L
'sunset is a surreal',S&L
'surely love the place',S&L
'avoid the midday',S&L
'ancient granite slab',SA
'the second landing',S&L
'located with huge',S&L
'really a lot',S&L
'other than worth',S&L
'lots of history',SA
'lots and lots',S&L
'an attraction with local',S&L
'were so friendly',S&L
'views are just amazing',S&L
'socks or bare',S&L
'be very hot',S&L
'also very nice',S&L
'temples some interesting',S&L
'sites the old',S&L
'provoking a lot',S&L
'reach the peak',S&L
'are many stairs',S&L
'temperature was extremely hot',S&L
'the views are stunning',S&L
'lot about Buddhism',SA
'with local guide',S&L
'a significant place',S&L
'The stairs were easy',S&L
'were not high',S&L
'Buddha and Aradhana',SA
'the old city',SA
'a public bus',S&L
'the main parking',S&L
'ask the driver',S&L
'a couple of old',S&L
'the upper sanctuary',SA
'a holy cave',SA
'a very quiet',S&L
'and magical place',S&L
'trough the whole',S&L
'a little treacherous',S&L
'was quite busy',S&L
'top was certainly worth',S&L
'a very historical',SA
'Get a guide',S&L
'history and details',SA
'the view is amazing',S&L
'Plenty of history',S&L
'the modern street',S&L
'this ancient city',SA
'be a magnet',S&L
'supply the odd',S&L
'doleful and offended',S&L
'money wormly welcome',S&L
'the first Dhamma',SA
'Like many Sri',S&L
'many steep steps',S&L
'reach the top',S&L
'the first Sri',S&L
'some seriously steep',S&L
'and narrow steps',S&L
'top view point',S&L
'Much better value',S&L
'feet walking',S&L
'those cheeky monkeys',S&L
'lots of steps',S&L
'make many stopps',S&L
'discover the ruins',SA
'a wonderful view',S&L
'not so hot',S&L
'see the sunset',S&L
'lot of rocks',S&L
'are so many',S&L
'view of nature',S&L
'temple and Buddha',SA
'enjoy the visit',S&L
'this as part',S&L
'steps and more bare',S&L
'the ground is sandy',S&L
'comfortable to walk',S&L
'just too hot',S&L
'A most valuable',S&L
'The great religion',SA
'brought from India',SA
'lot of history',SA
'book is very essential',SA
'lots of steps',S&L
'Some nice views',S&L
'some other places',S&L
'get a better',S&L
'just a pile',S&L
'of white stone',S&L
'nothing particularly interesting',S&L
'beautiful small places',S&L
'enjoy the culture',SA
'a very zen',S&L
'look at wonderful',S&L
'Great place to visit',S&L
'nice to see',S&L
'be really hot',S&L
'An ancient place',S&L
'is small mountain',S&L
'flights of worn',S&L
'the hot stones',S&L
'climb some stairs',S&L
'see a big Buddha',SA
'a big dagoba',SA
'a great view',S&L
'lot of vatieties',S&L
'wouldrecommendeveningis the best',S&L
'visit this place',S&L
'view is breathtaking',S&L
'several beautiful places',S&L
'a spectacular view',S&L
'an old mango',S&L
'Buddhist enlightened monk',SA
'hunting the animals',S&L
'Being a few',S&L
'lot of tourists',S&L
'make the same',S&L
'the most breathtaking',S&L
'historic religious site',SA
'not afraid of climbing',S&L
'a few steps',S&L
'a wonderful view',S&L
'nearby black pond',S&L
'a lush forest',S&L
'historical records monk',SA
'a big monastery',SA
'visiting the ruins',SA
'Nice and quiet',S&L
'are several sections',S&L
'see with great views',S&L
'the hot stone',S&L
'a short ride',S&L
'a little bit',S&L
'a strenuous walk',S&L
'not too difficult',S&L
'a stupa the other',SA
'a beautiful statue',S&L
'the most beautiful',S&L
'not too bad',S&L
'not too bad',S&L
'mentioned by many',S&L
'feet is hot',S&L
'a beautiful sight',S&L
'Nice view from',S&L
'a great workout',S&L
'fee is well worth',S&L
'but quite exciting',S&L
'views are spectacular',S&L
'beautiful white stupa',S&L
'The monkeys were cute',S&L
'as fairly easy',S&L
'the first plateau',S&L
'choices for further',S&L
'the difficult rock',S&L
'the difficult spots',S&L
'the most beautiful',S&L
'The views are spectacular',S&L
'was so lucky',S&L
'the easy way',S&L
'all so glad',S&L
'The ruins are amazing',S&L
'the whole area',S&L
'are fascinating ruins',S&L
'Mihintale is very worth',S&L
'an interesting place',S&L
'a little arduous',S&L
'an active temple',SA
'top and stunning views',S&L
'find a tuk',S&L
'find some difficulty',S&L
'climbing the heated',S&L
'peaceful and beautiful place',S&L
'a great tour',S&L
'lot about nature',S&L
'Sinhalese history',SA
'The climb is tough',S&L
'for most persons',S&L
'not really special',S&L
'dagoba on top',SA
'the hill is awesome',S&L
'great atmosphere there',S&L
'a hot day',S&L
'steps are really hot',S&L
'Buddhist centre for',SA
'The place is beautiful',S&L
' miss the Black-pond',S&L
'even require a ticket',S&L
'an amazingly peaceful',S&L
'the little toilets',S&L
'is so much',S&L
'the grounds are comfortable',S&L
'walk with paths',S&L
'the rock for awesome',S&L
'miss this beautiful',S&L
'ancient city of Srilanka',SA
'this old city',SA
'explore a great',S&L
'a nice driver',S&L
'searching the web',S&L
'was luckily available',S&L
'A perfect place',S&L
'a short day'S&L
'sites within very short',S&L
'a very good',S&L
'the ancient areas',SA
'explore the ruins',SA
'that Anuradhapura is important',SA
'Nice place with temples',SA
'Nice view from',S&L
'past and present',S&L
'Buddism was intoduced',SA
'Lots of relic',SA
'but much more',S&L
'avoid the heat',S&L
'the hill is worth',S&L
'A huge Pagoda',SA
'A paved path',S&L
'A sacred place',SA
'experience the history',SA
'the local people',S&L
'the trees with white',S&L
'dagoba is poetic',SA
'Take a detour',S&L
'see the stones',S&L
'this site is less',S&L
'the lookout is breathtaking',S&L
'hire a tuk-tuk',S&L
'Well worth the',S&L
'The views are spectacular',S&L
'then watch the sun',S&L
'the main area',S&L
'so bring socks',S&L
'the sand or hot',S&L
'Quite nice view',S&L
'squirrel on mid',S&L
'were very few',S&L
'western tourists there',S&L
'lots of Sri',S&L
'statue and dagobas',SA
'the last part',S&L
'hill was more tricky',S&L
'but really worth',S&L
'the stunning views',S&L
'an amazing place',S&L
'the most beautiful',S&L
'The best place',S&L
'is really stunning',S&L
'The temperature is cool',S&L
'lot of money',S&L
'a very polite',S&L
'Stupa on top',SA
'Buddha statue on top',SA
'The steps are narrow',S&L
'is extremely dangerous',S&L
' climb these hills',S&L
'the historical significance',SA
'sheer physical beauty',S&L
'even remotely active',S&L
'easily spend several hours',S&L
'lots and lots',S&L
'Temple is situated',SA
'a huge rock',S&L
'the first level',S&L
'are more difficult',S&L
'a clear day',S&L
'the lower flight',S&L
'the long flight',S&L
'relatively easy to climb',S&L
'the highest stupa',SA
'towards Andhuradphram are spectacular',SA
'the then king',S&L
'a highly religious',SA
'a very long',S&L
'be the place',S&L
'are so many',S&L
'historic monuments to visit',SA
'the basic facilities',S&L
'view tourist hotel',S&L
'huge stone trough',S&L
'old babies were seen',S&L
'an excellent experience',S&L
'the most important',S&L
'Buddhist monk Mahinda',SA
'inaugurated the presence',S&L
'wear long jeans',S&L
'the new bus',S&L
'is clearly signposted',S&L
'an arcgaeological tour',SA
'the high ratings',S&L
'the more special',S&L
'the fantastic guide',S&L
'information was so good',S&L
'Such a beautiful',S&L
'a very historic',SA
'temple in Trinco',SA
'and definitely worth',S&L
'a very touristy',S&L
'place with full',S&L
'park the vehicle',S&L
'is very nice',S&L
'beautiful place in sri',S&L
'temple in evening',SA
'temple is located',S&L
'facing the sea',S&L
'Threre are so many',S&L
'visit this ancient',S&L
'lots of changes',S&L
'no temperary souvenier',S&L
'most holy Hindu',SA
'is well worth',S&L
'easily approached by car',S&L
'the ubiquitous tuk',S&L
'most local tourist',S&L
'The high rock',S&L
'great views out',S&L
'Following a gentle walk',S&L
'a few stalls',S&L
'the colourful statue',S&L
'join a ceremony',S&L
'temple is located',SA
'facing the Blue',S&L
'pleasant sightings of deer',S&L
'during late January',S&L
'be a very hot',S&L
'transport a fair',S&L
'temple and walk',S&L
'was extremely hot',S&L
'a special feast',S&L
'was quite busy',S&L
'well before temple',S&L
'road through many',S&L
'the cliffs were various',S&L
'a relatively new',S&L
'an ancient temple',SA
'several centuries ago',SA
'Hindu Tamil priests',SA
'several times a day',S&L
'of bounds for several',S&L
'the civil war',SA
'not prove a problem',S&L
'for anyone of average',S&L
'final high spot',S&L
'a few footholds',S&L
'A nice place',S&L
'some interesting sights',S&L
'the main temple',SA
'locals are very friendly',S&L
'a simple meal',S&L
'Temple is definitely a',S&L
'a few minutes',S&L
'a short climb',S&L
'numerous street vendors',S&L
'selling sweet foods',S&L
'A great place',S&L
'great panoramic view',S&L
'in view of religious',SA
'archeological findings really',SA
'heartwarming and breathtaking',S&L
'Hindu temple barefoot',SA
'get a taste',S&L
'Just a short walk',S&L
'the very tame',S&L
'Temple is an Interesting',SA
'visit and study',S&L
'history of decades',SA
'a wonderful time',S&L
'temple is rawana cut',SA
'a cut shape',SA
'reach from trincomalee',SA
'This ancient Kovil',SA
'history of being',SA
'a magnet for childless',SA
'see toy cradles',S&L
'temple is quite short',S&L
'the hilly side',S&L
'drinks and ice-creams',S&L
'far more attractive',S&L
'temple is said',SA
'a very old',SA
'nothing of old',S&L
'temple was being',SA
'more modern look',S&L
'temple is great',SA
'being and best',S&L
'This temple is great',SA
'the view is lovely',S&L
'make the trip',S&L
'surrounding is beautiful',S&L
'the beaches are pristine',S&L
'view is absolutely amazing',S&L
'into religious poojas',SA
'do the same',S&L
'So many signs',SA
'keep the temple',SA
'an ancient temple',SA
'not walk',S&L
'temple afternoon streets',S&L
'evenning is good',S&L
'see city view'S&L
'a religious place',SA
' find anything',S&L
'and too many',S&L
'get the ancient',SA
'The location is unique',S&L
'a sacred place',SA
'learning about different',S&L
'but still accessible',S&L
'has more historical',SA
'and mythical importance',SA
'actually offer for photography',S&L
'been diving right',S&L
'was incredible experience',S&L
'A nice temple',SA
'with great views',S&L
'lovely to see',S&L
'Historic Hindu temple',SA
'through even historic',SA
'the vast crowd',S&L
'Great view of',S&L
'Hindu Shiva temple',SA
'history way',SA
'believed that Ravana',SA
'a few years',S&L
'an exceptional view',S&L
'is sacred temple',SA
'priests were hlpful',S&L
'the original shrine',SA
'told that many',SA
'history going',SA
'recorded history',SA
'most important Hindu',SA
'temple in Sri',SA
'The original form',S&L
'kovil was destroyed',SA
'ransacked and pilfered',S&L
'best abilities in',S&L
'The current structure',SA
'lot of fishing',S&L
'status is amazing',SA
'is easily visible',S&L
'form the small',S&L
'lot of history',SA
'read the very interesting history',SA
'near miraculous discovery',S&L
'the most famous',S&L
'Hindu phallic symbol',SA
'the golden statues',SA
'also quite high',S&L
'overlooking the water',S&L
'temple had a lovely',S&L
'atmosphere and great',S&L
'walk through Fort',S&L
'the main road',S&L
'reach the temple',S&L
'temple precinct to look',SA
'including the miniature',SA
'a so colorful',S&L
'temple in Trincomalee',SA
'take good socks',S&L
'temple in day',SA
'lots of tamils',S&L
'starting a business',S&L
'just before lunchtime',S&L
'were very lucky',S&L
'witnessed a beautiful',S&L
'temple is situated',SA
'be in Trincomalee',SA
'overlooking the natural',S&L
'temple has been well maintained',SA
'a nice feeling',S&L
'this temple is beautiful',S&L
'temple is very pleasant',S&L
'the last shop',S&L
'regular prices in contrary',S&L
'of other shops',S&L
'Being a Hindu',SA
'place is really nice',S&L
'see such large',S&L
'and numerous statues',SA
'Try the mangoes',S&L
'and very impressive',S&L
'Combined with golden',S&L
'Buddha statue The temple',SA
'is really nice',S&L
'all relevant aspects',S&L
'see a view',S&L
'taking public bus',S&L
'opp the wholesale',S&L
'ask the local',S&L
'easy climb with steps',S&L
'see monkeys along',S&L
'an enormous Buddha',SA
'statue and some wonderful cave',SA
'but definitely worth',S&L
'few different caves',SA
'intricately decorated with wall',S&L
'a few steps',S&L
'a reasonable level',S&L
'some lovely statues',SA
'water and watch',S&L
'Well worth the',S&L
'the first temple',SA
'visit for anyone',S&L
'be a bit',S&L
'not miss this site',S&L
'Beautiful Buddha statues',SA
'lot of stairs',S&L
'climbing the lion',S&L
'rock a few',S&L
'take that long',S&L
'caves are beautiful',S&L
'nice to see',S&L
'a different type',S&L
'first hand experience',S&L
' see a monkey',S&L
'The golden Buddha',SA
'statue is huge',SA
'built from Japanese',S&L
'huge golden Stupa',SA
' visit the caves',SA
'was too hot',S&L
'Beautiful place to visit',S&L
'A great idea',S&L
'start in cave',SA
'the best temples',SA
'location is very scenic',S&L
'top mountain views',S&L
'a suicidal taxi',S&L
'walk into Dambulla',S&L
'a huge gold',S&L
'immense golden Buddha',SA
'much more ancient',SA
'place is very good',S&L
'see lot of budha',SA
'big statutes of budha',SA
'lot of stairs',S&L
'but definitely lesser',S&L
'cover the whole',S&L
'The entrance is horrible',S&L
'about temples and spare',SA
'Entrance is free',S&L
'also proper outfit',S&L
'the temple is beautiful',S&L
'and very unique',S&L
'not particularly religious',SA
'the amazing art',S&L
'a full day',S&L
'Buddhist of course',SA
'A good climb',S&L
'caves containing many',SA
'the bold monkeys',S&L
'visiting the sigirya',SA
'a bit on heavier',S&L
'have enough steam',S&L
'good This cave temple',SA
'a long history',SA
'Great little hike',S&L
'Get some lotus',S&L
'The caves are spectacular',SA
'and ventilation is rudimentary',S&L
'Bring a good',S&L
'see all the beautiful',S&L
'is now free',S&L
'entirely constructed from resin',SA
'the caves is tough',SA
'old or unfit',SA
'just a little',S&L
'Golden temple and rock',SA
'temple are the same',SA
'Buddha and walk',SA
'a steep path',S&L
'Lots of monkeys',S&L
'really pesky vendors',S&L
'temple attire required',S&L
'Beautiful temple on',SA
'admission charge',S&L
'Beware of monkeys',S&L
'the best places',S&L
'The golden temple',SA
'need at least',S&L
'cover the area',S&L
'take a bottle',S&L
'climb the rock',S&L
'Nice historical Temple',SA
'Lots of steps',S&L
'Great view from',S&L
'Temple are a definite',SA
'historic cultural sites',SA
'the day as possible',S&L
'Pleasant walk',S&L
'just after lunch',S&L
'An easy place',S&L
'lot and choose',S&L
'long steep climb',S&L
'but well worth',S&L
'So much history',SA
'and amazing views',S&L
'tranquil with so much',S&L
'see and visit',S&L
'huge single rock',S&L
'of single rock',SA
'reach the top',S&L
'sculptured cave and Lord',SA
'Lots of statues',SA
'a series of deep',S&L
' handle lots',S&L
'well as Sri',S&L
'and well worth',S&L
'the fairly long',S&L
'most impressively filled',S&L
'the best Buddhist',SA
'caves and numerous',SA
'a very special',S&L
'now run by UNESCO',S&L
'entrance are quite tacky',S&L
'Most amazing buddha',SA
'The modern temple',SA
'form the outside',S&L
'really worth visiting',S&L
'visit the museum',S&L
'too Most unique temple',SA
'are so many',S&L
'is so unique',S&L
'well not just',S&L
'also just right',S&L
'a good walk',S&L
'Not too long',S&L
'Well maintained place',S&L
'Good to see',S&L
'well maintained stairs',S&L
'The golden Buddha',SA
'is so big',S&L
'good steep climb',S&L
'stairs in hot',S&L
'challenging but fun',S&L
'beautiful buddha scuptures',SA
'most people have left',S&L
'enjoy The temple',SA
'just so tacky',S&L
'filled with gorgeous',S&L
'effigies and ancient',SA
'paintings of exquisite',S&L
'Pretty sharp climb',S&L
'warned the caves',S&L
'hot so',S&L
'prepared for crowds',S&L
'large complex and',S&L
'the golden Buddha',SA
'some sort of significant',S&L
'Temple was entirely positive',SA
'wonderfully decorated with paintings',S&L
'bring a tripod',S&L
'This ancient cave',SA
'temple is well',SA
'The large statues',SA
